0.1a,/Users/harpo/Desktop/Cesar and Rubin/Audio & Video/Cesar and Ruben Qlab Oct-2011/video/back-focus-chart 3.jpg,VIDEO TEST CUE (Video Projector Only - Use Other Mac for Title Projector Test),00:00.000,00:00.000,00:00.000,auto-continue,,
,/Users/harpo/Desktop/Cesar and Rubin/Audio & Video/Cesar and Ruben Qlab Oct-2011/video/back-focus-chart 3.jpg,VIDEO TEST CUE (Video Projector Only - Use Other Mac for Title Projector Test),00:00.000,00:00.000,00:00.000,,,
0.1b,0.1a VIDEO TEST CUE (Video Projector Only - Use Other Mac for Title Projector Test),STOP TEST CUE (Video),00:00.000,00:00.000,00:00.000,auto-continue,,
, VIDEO TEST CUE (Video Projector Only - Use Other Mac for Title Projector Test),fade and stop VIDEO TEST CUE (Video Projector Only - Use Other Mac for Title Projector Test),00:00.000,00:00.000,00:00.000,auto-continue,,
,/Users/harpo/Movies/black.png,black.png,00:00.000,00:00.000,00:00.000,auto-continue,,
0.1c,,light 1 - full,00:00.000,00:00.000,00:00.000,,,
,,light 1 .1 - setup,00:00.000,00:00.000,00:00.000,,,
,,MIDI note on,00:00.000,00:00.000,00:00.000,,,
,,MIDI note on,00:00.100,00:00.000,00:00.000,,,
0.2a,,AUDIO TEST SEQUENCE,00:00.000,00:00.000,00:00.000,,,
,/Users/harpo/Desktop/Cesar and Rubin/Audio & Video/Cesar and Ruben Qlab Oct-2011/audio/_Pink Noise.aif,PINK NOISE,00:00.000,01:00.000,00:00.000,auto-continue,,
, PINK NOISE,Ch 1 (L+C),00:00.000,00:00.500,00:00.500,auto-follow,,
, PINK NOISE,Ch 2 (R+C),00:00.000,00:00.500,00:00.500,auto-follow,,
, PINK NOISE,Ch 3 (Sub),00:00.000,00:00.500,00:00.500,auto-follow,,
, PINK NOISE,Ch 4 (FX House LS+LR),00:00.000,00:00.500,00:00.500,auto-follow,,
, PINK NOISE,Ch 5 (FX House RS+RR),00:00.000,00:00.500,00:00.500,auto-follow,,
, PINK NOISE,Ch 6 (FX Stage USR),00:00.000,00:00.500,00:00.500,auto-follow,,
, PINK NOISE,Ch 7 (FX Stage USL),00:00.000,00:00.500,00:00.500,auto-follow,,
, PINK NOISE,Ch 8 (FX Stage Jukebox),00:00.000,00:00.500,00:00.500,auto-follow,,
0.2b,0.2a AUDIO TEST SEQUENCE,STOP TEST CUE (Audio),00:00.000,00:00.000,00:00.000,,,
,,vocal sound check,00:00.000,00:00.000,00:00.000,auto-continue,,
,,/unmute/cesar,00:00.000,00:00.000,00:00.000,auto-follow,,
,,/unmute/ruben,00:00.500,00:00.000,00:00.000,auto-follow,,
,,/unmute/helen,00:00.500,00:00.000,00:00.000,auto-follow,,
,,/unmute/naylor,00:00.500,00:00.000,00:00.000,auto-follow,,
,,/unmute/tomas,00:00.500,00:00.000,00:00.000,auto-follow,,
,,/unmute/sherrif,00:00.500,00:00.000,00:00.000,auto-follow,,
,,/unmute/woman,00:00.500,00:00.000,00:00.000,auto-follow,,
,,/unmute/carlos,00:00.500,00:00.000,00:00.000,auto-follow,,
,,/mix/cesar #v#,00:00.500,00:00.500,00:00.000,,,
,,/mix/cesar #v#,00:00.000,00:00.500,00:00.000,auto-continue,,
,,/mix/ruben #v#,00:00.000,00:00.500,00:00.000,,,
,,/mix/ruben #v#,00:00.000,00:00.500,00:00.000,auto-continue,,
,,/mix/helen #v#,00:00.000,00:00.500,00:00.000,,,
,,/mix/helen #v#,00:00.000,00:00.500,00:00.000,auto-continue,,
,,/mix/naylor #v#,00:00.000,00:00.500,00:00.000,,,
,,/mix/naylor #v#,00:00.000,00:00.500,00:00.000,auto-continue,,
,,/mix/tomas #v#,00:00.000,00:00.500,00:00.000,,,
,,/mix/tomas #v#,00:00.000,00:00.500,00:00.000,auto-continue,,
,,/mix/sherrif #v#,00:00.000,00:00.500,00:00.000,,,
,,/mix/sherrif #v#,00:00.000,00:00.500,00:00.000,auto-continue,,
,,/mix/woman #v#,00:00.000,00:00.500,00:00.000,,,
,,/mix/woman #v#,00:00.000,00:00.500,00:00.000,auto-continue,,
,,/mix/carlos #v#,00:00.000,00:00.500,00:00.000,,,
,,/mix/carlos #v#,00:00.000,00:00.500,00:00.000,auto-continue,,
,,/mute/cesar,00:00.500,00:00.000,00:00.000,auto-follow,,
,,/mute/ruben,00:00.500,00:00.000,00:00.000,auto-follow,,
,,/mute/helen,00:00.500,00:00.000,00:00.000,auto-follow,,
,,/mute/naylor,00:00.500,00:00.000,00:00.000,auto-follow,,
,,/mute/tomas,00:00.500,00:00.000,00:00.000,auto-follow,,
,,/mute/sherrif,00:00.500,00:00.000,00:00.000,auto-follow,,
,,/mute/woman,00:00.500,00:00.000,00:00.000,auto-follow,,
,,/mute/carlos,00:00.500,00:00.000,00:00.500,,,
,,1.2 - blackout,00:00.000,00:00.000,00:00.000,,,
,,light 2 house open,00:00.000,00:00.000,00:00.000,auto-continue,,
A,/Users/harpo/Desktop/Cesar and Rubin/Audio & Video/Cesar and Ruben Qlab Oct-2011/audio/01 C&R Preshow.aif,MUSIC: Preshow Loop,00:00.000,40:22.135,00:00.000,auto-continue,,Go on this cue just before house open
,/Users/harpo/Desktop/Cesar and Rubin/Audio & Video/Cesar and Ruben Qlab Oct-2011/video/UFW Flag FINAL 4.jpg,VIDEO: UFW Flag,00:00.000,00:00.000,00:00.000,auto-continue,,
, VIDEO: UFW Flag,fade VIDEO: UFW Flag,00:00.000,00:11.000,00:00.000,,,
,,sponsors,00:00.000,00:00.000,00:00.000,,,
B,A MUSIC: Preshow Loop,FADE DOWN: Music Preshow Loop,00:00.000,00:05.000,00:00.000,auto-continue,,
, VIDEO: UFW Flag,FADE DOWN: UFW Flag,00:00.000,00:05.000,00:00.000,auto-continue,,
